K1001,K1002,K1004,K1053,K1081,K1082,K1086,K1100,K1103,K1104,K1303,C_052 SM Position befor joining stator TD1 - Actual value ,Attribute,Date/Time,Event 1,Event 2,Event 3,Event 4,Batch Number,Nest Number,C_052 SM Position before joining stator TD1 - difference value ,Attribute,C_052 SM Position befor joining stator TD2 - Actual value ,Attribute,C_052 SM Position before joining stator TD2 - difference value ,Attribute,C_052 SM Joining stator - Actual value ,Attribute,C_052 SM Joining stator - difference value ,Attribute,C_052 SM Joining magnet - Actual value ,Attribute,C_052 SM Joining magnet - difference value ,Attribute,C_052 Calibration magnetic field ,Attribute,P_052 Joining Stator - measuring pre-position TD1 ,Attribute,P_052 Joining Stator - measuring pre-position TD2 ,Attribute,Q_052 Joining stator - Delta measuring pre-position ,Attribute,Q_052 Joining stator - measuring pre-position - Average ,Attribute,P_052 Joining stator - Force-max Zone 0 ,Attribute,P_052 Joining stator - Force-max Zone 1 ,Attribute,Q_052 Joining stator - Force-min Zone 1 ,Attribute,P_052 Joining stator - Force-Average value Zone 1 ,Attribute,Q_052 Joining stator - Force-max Zone 2 ,Attribute,Q_052 Joining stator - Force-min Zone 2 ,Attribute,P_052 Joining stator - Force-Average value Zone 2 ,Attribute,P_052 Joining stator - Delta force / End force ,Attribute,P_052 Joining stator - Way ,Attribute,P_052 Joining stator - Gradient ,Attribute,Q_052 Joining stator - Joining position ,Attribute,Q_052 Joining stator - Joining position TD1 ,Attribute,Q_052 Joining stator - Joining position TD2 ,Attribute,Q_052 Joining stator - Joining position after Adjustment - Average ,Attribute,P_052 Joining magnet - Force-Max Zone 0 ,Attribute,P_052 Joining magnet - Force-Max Zone 1 ,Attribute,Q_052 Joining magnet - Force-Min Zone 1 ,Attribute,P_052 Joining magnet - Force-Average value Zone 1 ,Attribute,Q_052 Joining magnet - Force-Max Zone 2 ,Attribute,Q_052 Joining magnet - Force-Min Zone 2 ,Attribute,P_052 Joining magnet - Force-Average value Zone 2 ,Attribute,Q_052 Joining magnet - Joining position ,Attribute,P_052 Joining magnet - Delta force / End force ,Attribute,P_052 Joining magnet - Way ,Attribute,P_052 Joining magnet - Gradient ,Attribute,Q_052 Adjustement orientation tooth spindle ,Attribute,P_052 Adjustement angle MM ,Attribute,P_052 Quality measuring MM after joining with load ,Attribute,Q_052 Quality measuring MM after joining without load ,Attribute,P_052 Quality measuring MM before joining Nest 1 ,Attribute,P_052 Quality measuring MM before joining Nest 2 ,Attribute,P_052 Quality measuring MM before joining Nest 3 ,Attribute,P_052 Gradient MM ,Attribute,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/16:54:19,200,8,null,null,#19022600253,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.646,0,5.7590003,0,-0.1130002,0,5.7025,0,1169,0,1681,0,935,0,1247,0,1993,0,1682,0,1826,0,1987,0,0,256,0,256,-1.1675,0,-1.213,0,-1.1379999,0,-1.1755,0,1195,0,1576,0,1195,0,1385,0,1629,0,1469,0,1580,0,90.57485,0,1623,0,0,256,0,256,200.0,0,-110.3559,0,-0.71398056,0,-0.695822,0,0,256,0,256,-0.3152562,0,1.2799463,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/16:59:36,200,8,null,null,#19022600243,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.075,0,6.104,0,-0.029000202,0,6.0895,0,1055,0,1880,0,908,0,1310,0,2106,0,1845,0,1955,0,2097,0,0,256,0,256,-1.175,0,-1.2,0,-1.1539999,0,-1.177,0,1230,0,1607,0,1183,0,1380,0,1638,0,1462,0,1606,0,90.57131,0,1631,0,0,256,0,256,200.0,0,-110.7286,0,0.54811245,0,0.5389569,0,-0.1841792,0,0,256,0,256,1.0913419,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:08:22,200,8,null,null,#19022600242,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.166,0,6.199,0,-0.0330002,0,6.1825,0,1177,0,1740,0,956,0,1298,0,2048,0,1742,0,1888,0,2048,0,0,256,0,256,-1.1645,0,-1.1940001,0,-1.1509999,0,-1.1725,0,1161,0,1552,0,1161,0,1341,0,1604,0,1412,0,1557,0,90.57,0,1604,0,0,256,0,256,200.0,0,-109.1667,0,0.27680287,0,0.27558213,0,-0.24842067,0,0,256,0,256,1.0763879,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:09:21,200,8,null,null,#19022600240,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.802,0,5.854,0,-0.052000202,0,5.828,0,1120,0,1700,0,914,0,1255,0,1973,0,1697,0,1832,0,1950,0,0,256,0,256,-1.174,0,-1.2090001,0,-1.1549999,0,-1.182,0,1239,0,1589,0,1239,0,1407,0,1639,0,1474,0,1592,0,90.573494,0,1635,0,0,256,0,256,200.0,0,-112.4818,0,-0.51911986,0,-0.49806207,0,0,256,0,256,-0.29602954,0,1.2741477,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:10:04,200,8,null,null,#19022600247,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.111,0,6.137,0,-0.026000202,0,6.124,0,1081,0,1823,0,923,0,1311,0,2074,0,1825,0,1929,0,2074,0,0,256,0,256,-1.1675,0,-1.1910001,0,-1.1499999,0,-1.1705,0,1147,0,1489,0,1120,0,1297,0,1536,0,1391,0,1501,0,90.57586,0,1525,0,0,256,0,256,200.0,0,-109.1529,0,-0.1454207,0,-0.13000885,0,-0.21362957,0,0,256,0,256,1.1563463,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:10:45,200,8,null,null,#19022600232,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.791,0,5.8840003,0,-0.0930002,0,5.8375,0,1153,0,1701,0,933,0,1240,0,1979,0,1690,0,1835,0,1946,0,0,256,0,256,-1.1745,0,-1.2190001,0,-1.1439999,0,-1.1815,0,1123,0,1408,0,1118,0,1270,0,1463,0,1312,0,1419,0,90.57714,0,1463,0,0,256,0,256,200.0,0,-111.9984,0,-0.42664877,0,-0.45808282,0,0,256,0,256,-0.2923673,0,1.2863551,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:12:21,200,8,null,null,#19022600235,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.779,0,5.837,0,-0.058000203,0,5.808,0,1075,0,1924,0,954,0,1388,0,2174,0,1906,0,2026,0,2156,0,0,256,0,256,-1.1725,0,-1.2010001,0,-1.1529999,0,-1.177,0,1096,0,1471,0,1096,0,1288,0,1518,0,1371,0,1481,0,90.57639,0,1518,0,0,256,0,256,200.0,0,-111.3841,0,-0.4297006,0,-0.3952147,0,0,256,0,256,-0.2989288,0,1.2570574,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:12:57,200,8,null,null,#19022600258,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.1159997,0,6.178,0,-0.062000204,0,6.147,0,1077,0,1938,0,933,0,1376,0,2230,0,1940,0,2081,0,2230,0,0,256,0,256,-1.166,0,-1.2080001,0,-1.134,0,-1.171,0,1215,0,1541,0,1173,0,1352,0,1627,0,1468,0,1576,0,90.5749,0,1622,0,0,256,0,256,200.0,0,-111.1525,0,0.18936735,0,0.2230903,0,-0.18784143,0,0,256,0,256,1.1191137,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:16:30,200,8,null,null,#19022600231,1,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,6.128,0,6.159,0,-0.031000203,0,6.1435,0,1095,0,1886,0,926,0,1360,0,2119,0,1887,0,1992,0,2109,0,0,256,0,256,-1.171,0,-1.1970001,0,-1.1479999,0,-1.1725,0,1248,0,1741,0,1248,0,1487,0,1806,0,1741,0,1778,0,90.58706,0,1796,0,0,256,0,256,200.0,0,-108.036,0,-0.04425184,0,-0.051728874,0,-0.17166662,0,0,256,0,256,1.141087,0 ,
950273,HJD_LHD_BL1R - 950111,26.02.2019 16:51:22,20190226,M1998,GEM Suzhou,-,Steering,-,26.02.2019 08:56:00,TK-PCHZ,0,256,26.02.2019/17:17:26,200,8,null,null,#19022600257,3,0,256,0,256,0,256,0,256,0,256,0,256,0,256,0,256,5.7669997,0,5.8780003,0,-0.1110002,0,5.8225,0,1113,0,1816,0,964,0,1305,0,2092,0,1771,0,1919,0,2045,0,0,256,0,256,-1.1775,0,-1.2170001,0,-1.1489999,0,-1.183,0,1064,0,1450,0,1065,0,1246,0,1493,0,1308,0,1451,0,90.5715,0,1486,0,0,256,0,256,200.0,0,-114.8155,0,-0.89144564,0,-0.89785457,0,0,256,0,256,-0.2803125,0,1.2451552,0 ,
